Data1;Data2;Correlation score
CO - Age de l'assuré;Age de l'assuré;1.0
CO - Coefficient Commercial;Ancienne réduction salariés (RED);1.0
CO - Antivol Minimum Exigé;Antivol minimum exigé;1.0
CO - Apprentissage Anticipé Conduite (O/N);Apprentissage anticipé de la conduite;1.0
CO - Classe Réparation Véhicule;Classe de réparation du véhicule;1.0
SI - Code Cause Sinistre;Code cause sinistre;1.0
SI - Code Cause Sinistre;Code cause sinistre;1.0
SI - Code Cause Sinistre;Code cause sinistre;1.0
SI - Code Cause Sinistre;Code cause sinistre;1.0
SI - Code Cause Sinistre;Code cause sinistre;1.0
SI - Code Cause Sinistre;Code cause sinistre;1.0
SI - Code Cause Sinistre;Code cause sinistre;1.0
SI - Code Cause Sinistre;Code cause sinistre;1.0
SI - Code Cause Sinistre;Code cause sinistre;1.0
SI - Code Cause Sinistre;Code cause sinistre;1.0
SI - Code Cause Sinistre;Code cause sinistre;1.0
SI - Code Cause Sinistre;Code cause sinistre;1.0
SI - Code Cause Sinistre;Code cause sinistre;1.0
CO-Code Formule;Code formule;1.0
CO-Code Formule;Code formule;1.0
CO-Code Formule;Code formule;1.0
CO - Code Formule;Code formule;1.0
CO - Code Formule;Code formule;1.0
CO - Code Formule;Code formule;1.0
CO-Code Formule;Code formule;1.0
CO-Code Formule;Code formule;1.0
CO-Code Formule;Code formule;1.0
CO - Code Formule;Code formule;1.0
CO - Code Formule;Code formule;1.0
CO - Code Formule;Code formule;1.0
CO-Code Formule;Code formule;1.0
CO-Code Formule;Code formule;1.0
CO - Code Formule;Code formule;1.0
CO - Code Formule;Code formule;1.0
CO - Code Formule;Code formule;1.0
CO - Code Formule;Code formule;1.0
CO - Code Formule;Code formule;1.0
SI - Code Formule;Code formule;1.0
Code Garantie Sinistrée;Code garantie sinistre;1.0
Code Garantie Sinistrée;Code garantie sinistre;1.0
Code Garantie Sinistrée;Code garantie sinistre;1.0
Code Garantie Sinistrée;Code garantie sinistre;1.0
Code Garantie Sinistrée;Code garantie sinistre;1.0
Code Garantie Sinistrée;Code garantie sinistre;1.0
Code Garantie Sinistrée;Code garantie sinistre;1.0
Code Garantie Sinistrée;Code garantie sinistre;1.0
